Release Year,Movie,Director,IMDB Rating,Run time in hours,Genre,Production Budget $,Domestic Gross $,Worldwide Gross $,Profit $
2009,Avatar,James Cameron,7.9,2.96,Science Fiction,425000000,760507625,2783918982,2358918982
2007,Pirates of the Caribbean: At World's End,Gore Verbinski,7.1,2.81,Adventure,300000000,309420425,960996492,660996492
2012,The Dark Knight Rises,Christopher Nolan,8.5,2.75,Superheroes,275000000,448139099,1079343943,804343943
2009,John Carter,Andrew Stanton,6.6,2.2,Fantasy,275000000,73058679,282778100,7778100
2010,Tangled,Nathan Greno,7.9,1.67,Animation,260000000,200821936,586581936,326581936
2007,Spider-Man 3,Sam Raimi,6.2,2.31,Superheroes,258000000,336530303,890875303,632875303
2014,The Hobbit: The Battle of the Five Armies,Peter Jackson,7.7,2.4,Fantasy,250000000,227082487,731782487,481782487
2013,The Hobbit: The Desolation of Smaug,Peter Jackson,8,3.1,Fantasy,250000000,258366855,950466855,700466855
2011,Pirates of the Caribbean: On Stranger Tides,Rob Marshall,6.7,2.26,Adventure,250000000,241063875,1043663875,793663875
2009,Harry Potter and the Half-Blood Prince,David Yates,7.5,2.55,Fantasy,250000000,301959197,935083686,685083686
2012,The Hobbit: An Unexpected Journey,Peter Jackson,8,3,Fantasy,250000000,303003568,1014703568,764703568
2006,Superman Returns,Bryan Singer,6.1,2.5,Superheroes,232000000,200120000,374085065,142085065
2008,Quantum of Solace,Marc Forster,,1.78,Adventure,230000000,169368427,591692078,361692078
2013,Man of Steel,Zack Snyder,7.3,2.46,Superheroes,225000000,291045518,667999518,442999518
2006,Pirates of the Caribbean: Dead Man's Chest,Gore Verbinski,,2.5,Adventure,225000000,423315812,1060615812,835615812
2008,The Chronicles of Narnia: Prince Caspian,Andrew Adamson,,2.5,Fantasy,225000000,141621490,417341288,192341288
2012,The Avengers,Joss Whedon,8.2,2.38,Superheroes,225000000,623279547,1514279547,1289279547
2012,The Amazing Spider-Man,Marc Webb,7.1,2.26,Superheroes,220000000,262030663,757890267,537890267
2012,Men in Black 3,Barry Sonnenfeld,6.9,1.76,Science Fiction,215000000,179020854,654213485,439213485